realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
18,1.8201778776970017e-08,0.0026801677809927603,1.8961102212090007e-09,1.0547465773760006e-06,0.00047334106338819986,9.030833229696001e-05,7.143749300646e-09,8.914284365243004e-05,9.932561161784007e-06,4.212749839322999e-05,3.160238160569998e-05,2.481891229042998e-07,0.002761520781966,1.3533306136580013e-09,1.2584011437067168e-08,0.0003741714073412002,0.000139978637681,1.6348808270440002e-06,1.7175610352859986e-10,False,3
19,6.773292480441004e-08,0.0011476575454107895,1.340851596309999e-09,4.714363104001003e-07,0.00016741683510059998,5.351071192881001e-05,1.0581035854140002e-08,8.980244686028004e-05,3.1160025329599993e-07,4.267696252491001e-05,1.1220139550080012e-05,3.207370778272999e-07,0.002663669677464999,9.453684188247982e-10,1.845142460634518e-09,0.0006175159045728998,0.000138093938015,1.236066019530001e-06,8.402941662839007e-11,False,3
2,1.7614337210790008e-08,0.0024152661606138804,1.0373140018810003e-09,4.042670882305003e-07,0.0005564946682455002,8.401729080284e-05,4.0770681217139966e-09,8.836221862718002e-05,1.0880265340539997e-05,4.149798399262001e-05,3.742936634692999e-05,3.3326146938429984e-07,0.0028271990816300012,1.1469104272989984e-09,1.3099443131308718e-08,0.0005038137159987999,0.00014225791217309998,2.3162805615980005e-06,2.610722343481997e-10,False,3
20,1.921122306335999e-08,0.0025732429458275308,1.693521773243002e-09,1.3130692582669994e-06,0.00044703521684529994,6.830054528246993e-05,1.1115773482990006e-08,8.901668361323994e-05,9.341786310568007e-06,4.202621131509001e-05,2.9724676222100005e-05,3.382399267884998e-07,0.0027511712295390013,1.3194019053839987e-09,1.1515955837956054e-08,0.00030708386112069996,0.00014034937860460002,3.6178884914349976e-06,1.7047305669639998e-10,False,3
21,2.1253176831389984e-08,0.00250067378159627,1.4024646062459977e-09,1.1565207510570005e-06,0.0003844224147161001,5.217059800067005e-05,1.3785335820819996e-08,8.899131255260008e-05,7.861957143134996e-06,4.200623208739002e-05,2.5335311184920006e-05,3.469236958735999e-07,0.002737454042646,1.3497308078089997e-09,9.802927473467434e-09,0.00017257462663679998,0.0001404281371114,3.069595455957002e-06,8.555929740878003e-11,False,3
22,3.496922787066001e-08,0.0021672612526815707,1.1606480571919979e-09,6.374142774966998e-07,0.00020860254246699996,5.989614363078999e-05,1.0328126343219999e-08,8.903940108214998e-05,2.0976899293039993e-06,4.204978147219999e-05,1.3648832635460007e-05,3.600656458864997e-07,0.002740737925576001,1.5494514279610017e-09,4.619114453688475e-09,0.00016418484998539996,0.00014030073448299994,2.500138335551999e-06,8.403106583340007e-11,False,3
23,1.9162566440550017e-08,0.0025873933850814102,1.8504261125230028e-09,1.181413354522999e-06,0.0004478643723569001,7.107927016112001e-05,8.191866922321997e-09,8.916931250703997e-05,9.376128711763993e-06,4.214936330956996e-05,2.9786702363750015e-05,3.136106716284e-07,0.002739881402239,1.3253137559739995e-09,1.1599524054490422e-08,0.00031030162529110006,0.00013990352683109994,3.1697667625559993e-06,8.403101461063999e-11,False,3
24,2.1079562093179997e-08,0.0026910494931277292,2.3137266196029987e-09,1.451629355799001e-06,0.00035916963116510017,6.697734977381006e-05,7.59321451360699e-09,8.876040366737994e-05,7.988942203520998e-06,4.1819583848080024e-05,2.3628880435149995e-05,2.2767604850160015e-07,0.0027735246659110003,1.506719691922e-09,9.865920052469883e-09,0.00015322914919310002,0.0001411013228785,1.0648090824679998e-06,1.4141154093640019e-10,False,3
25,1.948509834789001e-08,0.002521742845188821,1.0853033911539986e-09,9.17752708890399e-07,0.00044410804502019994,6.982572227877993e-05,1.271156246365001e-08,8.896276610431003e-05,9.227687058939997e-06,4.198281146310996e-05,2.9482606439840026e-05,3.4447647557560023e-07,0.0027577162237229992,1.2922432452559983e-09,1.1247745210829176e-08,0.00028029385718689995,0.00014050901781239997,2.4840685952380016e-06,1.262669728730002e-10,False,3
26,1.879101455491001e-08,0.002387860564665491,1.0777019120230006e-09,9.054499908713009e-07,0.0005014045610560999,5.761935938298995e-05,2.176364524197e-08,8.886720583390006e-05,9.97803525735099e-06,4.190561560216996e-05,3.343042114654002e-05,3.9920607248869966e-07,0.0027542468657639992,1.164786557516998e-09,1.1914009977527776e-08,0.0003470568049147,0.0001407845332809,3.7572127553669965e-06,1.5387822612990025e-10,False,3
